ExperimentID,SampleID,AndroidVersion,Brand,Model,Avg_Lux,User_ID,Protocol_ID,Latitude,Longitude,Luminosity,Timestamp
38,637,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.44144,-8.3021403,0,04/05/2019 22:52
38,639,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414408,-8.3021315,5,04/05/2019 22:52
38,640,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414499,-8.3021308,5,04/05/2019 22:52
38,642,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.441463,-8.3020869,8,04/05/2019 22:52
38,644,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.44148,-8.3020493,26,04/05/2019 22:52
38,645,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4414941,-8.3020323,136,04/05/2019 22:52
38,646,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4415049,-8.3020146,170,04/05/2019 22:52
38,647,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.4415172,-8.3019685,264,04/05/2019 22:52
38,648,8.0.0,HUAWEI,PRA-LX1,127.42857142857143,1,1,41.441523,-8.3019483,217,04/05/2019 22:52
39,649,5.1.1,Xiaomi,Redmi 3,14,1,2,41.441338,-8.3049091,14,04/05/2019 22:54
40,650,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4415172,-8.3019705,24,04/05/2019 22:54
40,651,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4413793,-8.3020605,24,04/05/2019 22:54
40,652,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4414057,-8.3020402,39,04/05/2019 22:54
40,653,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4413919,-8.3019102,52,04/05/2019 22:54
40,654,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4413906,-8.3019144,52,04/05/2019 22:54
40,655,7.0,HUAWEI,HUAWEI VNS-L31,39.166666666666664,1,2,41.4413803,-8.3019286,44,04/05/2019 22:54
41,656,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.4415292,-8.3019311,86,04/05/2019 22:54
41,657,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.4415411,-8.3019622,147,04/05/2019 22:54
41,658,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.4415284,-8.3019615,108,04/05/2019 22:54
